symbol,underlying,actual_start,actual_rows,underlying_start,underlying_rows,actual_source,underlying_source
METU,META,2024-06-05,545,2012-05-18,3574,https://cdn.cboe.com/api/global/delayed_quotes/charts/historical/METU.json,https://query1.finance.yahoo.com/v8/finance/chart/META
AAPU,AAPL,2022-08-09,1003,1999-01-04,6940,https://cdn.cboe.com/api/global/delayed_quotes/charts/historical/AAPU.json,https://query1.finance.yahoo.com/v8/finance/chart/AAPL
MSFU,MSFT,2022-09-08,982,1999-01-04,6940,https://cdn.cboe.com/api/global/delayed_quotes/charts/historical/MSFU.json,https://query1.finance.yahoo.com/v8/finance/chart/MSFT
NFXL,NFLX,2024-10-03,462,2002-05-23,6090,https://cdn.cboe.com/api/global/delayed_quotes/charts/historical/NFXL.json,https://query1.finance.yahoo.com/v8/finance/chart/NFLX
PLTU,PLTR,2024-12-11,414,2020-09-30,1469,https://cdn.cboe.com/api/global/delayed_quotes/charts/historical/PLTU.json,https://query1.finance.yahoo.com/v8/finance/chart/PLTR
IBX,IBM,2026-03-24,94,1999-01-04,6940,https://cdn.cboe.com/api/global/delayed_quotes/charts/historical/IBX.json,https://query1.finance.yahoo.com/v8/finance/chart/IBM
NVDU,NVDA,2023-09-13,728,1999-01-22,6927,https://cdn.cboe.com/api/global/delayed_quotes/charts/historical/NVDU.json,https://query1.finance.yahoo.com/v8/finance/chart/NVDA
GGLL,GOOGL,2022-09-08,982,2004-08-19,5526,https://cdn.cboe.com/api/global/delayed_quotes/charts/historical/GGLL.json,https://query1.finance.yahoo.com/v8/finance/chart/GOOGL
AMZU,AMZN,2022-09-07,983,1999-01-04,6940,https://cdn.cboe.com/api/global/delayed_quotes/charts/historical/AMZU.json,https://query1.finance.yahoo.com/v8/finance/chart/AMZN
TSLT,TSLA,2023-10-19,702,2010-06-29,4051,https://cdn.cboe.com/api/global/delayed_quotes/charts/historical/TSLT.json,https://query1.finance.yahoo.com/v8/finance/chart/TSLA
